tau0,t0,lorentzian_avg_rho_dimless,L0max_planck_units
0.005,-1.85,-0.03978873577297384,19544.100476116793
0.005,-1.84,-0.039788735772973836,19544.100476116797
0.005,-1.83,-0.03978873577297385,19544.100476116793
0.005,-1.82,-0.039788735772973836,19544.100476116797
0.005,-1.81,-0.039788735772973836,19544.100476116797
0.005,-1.8,-0.03978873577297384,19544.100476116793
0.005,-1.79,-0.039788735772973836,19544.100476116797
0.005,-1.78,-0.03978873577297384,19544.100476116793
0.005,-1.77,-0.039788735772973836,19544.100476116797
0.005,-1.76,-0.03978873577297383,19544.100476116797
0.005,-1.75,-0.03978873577297384,19544.100476116793
0.005,-1.74,-0.03978873577297385,19544.100476116793
0.005,-1.73,-0.03978873577297384,19544.100476116793
0.005,-1.72,-0.03978873577297384,19544.100476116793
0.005,-1.71,-0.03978873577297383,19544.100476116797
0.005,-1.7,-0.03978873577297384,19544.100476116793
0.005,-1.69,-0.03978873577297384,19544.100476116793
0.005,-1.68,-0.03978873577297382,19544.1004761168
0.005,-1.67,-0.039788735772973836,19544.100476116797
0.005,-1.66,-0.039788735772973836,19544.100476116797
0.005,-1.65,-0.039788735772973836,19544.100476116797
0.005,-1.6400000000000001,-0.039788735772973836,19544.100476116797
0.005,-1.63,-0.03978873577297384,19544.100476116793
0.005,-1.62,-0.03978873577297384,19544.100476116793
0.005,-1.6099999999999999,-0.039788735772973836,19544.100476116797
0.005,-1.6,-0.03978873577297384,19544.100476116793
0.005,-1.5899999999999999,-0.03978873577297383,19544.100476116797
0.005,-1.58,-0.039788735772973836,19544.100476116797
0.005,-1.57,-0.03978873577297384,19544.100476116793
0.005,-1.56,-0.039788735772973836,19544.100476116797
0.005,-1.55,-0.03978873577297384,19544.100476116793
0.005,-1.54,-0.039788735772973836,19544.100476116797
0.005,-1.53,-0.03978873577297384,19544.100476116793
0.005,-1.52,-0.03978873577297383,19544.100476116797
0.005,-1.51,-0.03978873577297384,19544.100476116793
0.005,-1.5,-0.03978873577297385,19544.100476116793
0.005,-1.49,-0.03978873577297385,19544.100476116793
0.005,-1.48,-0.039788735772973836,19544.100476116797
