tau0,t0,lorentzian_avg_rho_dimless,L0max_planck_units
0.01,1.9980529276831085,0.24157712442978188,inf
0.01,2.016902483604647,0.3155654630417437,inf
0.01,2.0357520395261863,0.371927468971558,inf
0.01,2.054601595447725,0.40985085049395825,inf
0.01,2.0734511513692633,0.43045790053992183,inf
0.01,2.0923007072908018,0.4360046265650826,inf
0.01,2.111150263212341,0.42923549705667197,inf
0.01,2.1299998191338796,0.4129383306064246,inf
0.01,2.148849375055418,0.38967988241556056,inf
0.01,2.1676989309769574,0.36167777621261765,inf
0.01,2.186548486898496,0.3307628372114232,inf
0.01,2.2053980428200344,0.2983945026864242,inf
0.01,2.2242475987415737,0.26570291636951304,inf
0.01,2.243097154663112,0.23354089200868064,inf
0.01,2.2619467105846507,0.2025360516002331,inf
0.01,2.28079626650619,0.17313820889081227,inf
0.01,2.2996458224277285,0.1456600016666305,inf
0.01,2.318495378349267,0.1203104377856689,inf
0.01,2.3373449342708064,0.09722186666947032,inf
0.01,2.356194490192345,0.07647124682828965,inf
0.01,2.3750440461138833,0.058096666314171715,inf
0.01,2.3938936020354227,0.04211002017044937,inf
0.01,2.412743157956961,0.02850663507574598,inf
0.01,2.4315927138784996,0.01727249946508461,inf
0.01,2.450442269800039,0.008389629215436584,inf
0.01,2.4692918257215775,0.0018399839951768753,inf
0.01,2.488141381643116,-0.00239174967905394,19928.65107665681
0.01,2.5069909375646553,-0.004316276541111366,14834.780835541307
0.01,2.5258404934861938,-0.0039385509018147625,15529.859769222863
0.01,2.5446900494077322,-0.00125727593068987,27486.564706906815
0.01,2.5635396053292707,0.0037349999146721997,inf
0.01,2.58238916125081,0.011051180452647563,inf
0.01,2.6012387171723486,0.020708251226370523,inf
0.01,2.620088273093887,0.032725121509117466,inf
0.01,2.6389378290154264,0.04711949494988789,inf
0.01,2.657787384936965,0.06390350965397842,inf
0.01,2.6766369408585033,0.08307779950409895,inf
0.01,2.6954864967800427,0.104623523781623,inf
0.01,2.714336052701581,0.12849179174958644,inf
0.01,2.7331856086231197,0.15458977731348697,inf
0.01,2.752035164544659,0.1827626889938104,inf
0.01,2.7708847204661975,0.21277065987118543,inf
0.01,2.789734276387736,0.24425960382940645,inf
0.01,2.8085838323092753,0.2767252424258868,inf
0.01,2.827433388230814,0.3094699988676859,inf
0.01,2.8462829441523523,0.34155353183945386,inf
0.01,2.8651325000738916,0.3717397127039043,inf
0.01,2.88398205599543,0.39844633478417,inf
0.01,2.9028316119169686,0.4197093581913195,inf
0.01,2.921681167838508,0.433181483452122,inf
0.01,2.9405307237600464,0.4361951286018257,inf
0.01,2.959380279681585,0.42593067498644616,inf
0.01,2.9782298356031234,0.3997372523868731,inf
0.01,2.9970793915246627,0.35564570286116104,inf
0.01,3.015928947446201,0.29307709066626364,inf
0.01,3.0347785033677397,0.2136702970428218,inf
0.01,3.053628059289279,0.12202739381176565,inf
0.01,3.0724776152108175,0.02604051617248797,inf
0.01,3.091327171132356,-0.06359244973580647,3864.8530682627907
0.01,3.1101767270538954,-0.13491385245796433,2653.429136259925
0.01,3.129026282975434,-0.1771648116058296,2315.5119791702914
0.01,3.1478758388969723,-0.18347704335241047,2275.332650944033
0.01,3.1667253948185117,-0.1527867369434166,2493.405640608017
