B0,wB,aR,wR,l,B,R,rho,nec,Gkk,flare
1.0,0.75,1.0,0.75,1.200000000000001,1.0,1.5620499351813317,-0.014197162128042347,-0.020880462677640887,-0.5247832652130597,0.26239163260652987
1.0,0.75,1.0,0.75,1.3499999999999996,1.0,1.680029761641144,-0.011788534093234894,-0.016783150902888497,-0.42180658864482723,0.21090329432241361
1.0,0.75,1.0,0.75,1.5,1.0,1.8027756377319946,-0.009816010382838634,-0.013583071528751992,-0.3413798218232955,0.17068991091164776
1.0,0.75,1.0,0.75,1.6500000000000004,1.0,1.929378138157474,-0.00820931107649485,-0.011080747864365087,-0.27848956869576114,0.13924478434788057
1.0,0.75,1.0,0.75,1.8000000000000007,1.0,2.0591260281974004,-0.006902005366222779,-0.009115284829084264,-0.22909209483543694,0.11454604741771846
1.0,0.75,1.0,0.75,1.950000000000001,1.0,2.1914607000811133,-0.0058364645400350605,-0.007561637146030847,-0.1900446696566576,0.09502233482832878
1.0,0.75,1.0,0.75,2.0999999999999996,1.0,2.325940669922601,-0.004964916267882089,-0.006324394173884719,-0.15894936220065856,0.07947468110032929
1.0,0.75,1.0,0.75,2.25,1.0,2.462214450449026,-0.00424873966225682,-0.005331326192250992,-0.1339908415957325,0.06699542079786625
1.0,0.75,1.0,0.75,2.4000000000000004,1.0,2.6,-0.003657132278040071,-0.004527839652154686,-0.11379702230273381,0.056898511151366904
1.0,0.75,1.0,0.75,2.5500000000000007,1.0,2.7390691849604685,-0.0031656881217968927,-0.0038725802561194247,-0.09732855746449331,0.04866427873224666
1.0,0.75,1.0,0.75,2.700000000000001,1.0,2.879236009777595,-0.0027551114165966116,-0.003334080916977524,-0.08379459292200409,0.04189729646100204
1.0,0.75,1.0,0.75,2.8499999999999996,1.0,3.020347662107791,-0.002410136818462775,-0.0028882565148938264,-0.07258980359098643,0.03629490179549322
1.0,0.75,1.0,0.75,3.0,1.0,3.1622776601683795,-0.002118657745429262,-0.0025165486841738295,-0.0632477668688125,0.03162388343440625
1.0,0.75,1.0,0.75,3.1500000000000004,1.0,3.3049205739321486,-0.0018710377442829529,-0.002204556026792878,-0.055406536145596874,0.027703268072798437
1.0,0.75,1.0,0.75,3.3000000000000007,1.0,3.4481879299133342,-0.001659572826319937,-0.0019410218694533915,-0.04878320036425521,0.024391600182127604
1.0,0.75,1.0,0.75,3.450000000000001,1.0,3.592005011132363,-0.0014780741218520872,-0.0017170838125870164,-0.04315502312977059,0.0215775115648853
1.0,0.75,1.0,0.75,3.5999999999999996,1.0,3.7363083384538807,-0.0013215446036796102,-0.0015257147273718896,-0.03834539343188226,0.01917269671594113
1.0,0.75,1.0,0.75,3.75,1.0,3.881043674065006,-0.001185928589843025,-0.0013613040050906794,-0.034213301293561926,0.017106650646780963
1.0,0.75,1.0,0.75,3.9000000000000004,1.0,4.026164427839479,-0.0010679172525045768,-0.001219341918544742,-0.030645404908113967,0.01532270245405698
1.0,0.75,1.0,0.75,4.050000000000001,1.0,4.171630376723231,-0.0009647971509838643,-0.0010961801610606691,-0.027550012327992594,0.013775006163996295
1.0,0.75,1.0,0.75,4.199999999999999,1.0,4.31740662898458,-0.0008743318277219275,-0.0009888489772052374,-0.024852485458382038,0.012426242729191017
1.0,0.75,1.0,0.75,4.350000000000001,1.0,4.463462781294363,-0.0007946688539898153,-0.0008949165822684875,-0.022491706883442927,0.011245853441721465
1.0,0.75,1.0,0.75,4.5,1.0,4.6097722286464435,-0.0007242665261359212,-0.000812380384579545,-0.020417345984924395,0.010208672992462198
1.0,0.75,1.0,0.75,4.649999999999999,1.0,4.756311596184588,-0.0006618357887578766,-0.0007395822770157536,-0.01858772998558322,0.009293864992791612
1.0,0.75,1.0,0.75,4.800000000000001,1.0,4.903060268852506,-0.0006062940013241631,-0.0006751422575570795,-0.01696817565175479,0.008484087825877396
