series,observer_family,tau,min_sampled_avg,center_at_min,qi_proxy_bound,qi_proxy_margin,status
infrastructure_component_Tkk_min,core_line,20.0,-0.0005186069282783356,173.16,-5.936788104043229e-08,-0.0005185475603972951,below_proxy_bound
infrastructure_component_Tkk_min,core_line,40.0,-0.0002426412729362323,165.36,-3.710492565027018e-09,-0.00024263756244366727,below_proxy_bound
infrastructure_component_Tkk_min,core_line,80.0,,,-2.3190578531418863e-10,,
infrastructure_component_Tkk_min,access_mean,0.5,-0.0013135903291821226,152.1,-0.15198177546350666,0.15066818513432453,above_proxy_bound
infrastructure_component_Tkk_min,access_mean,1.0,-0.0010777410013923822,152.1,-0.009498860966469166,0.008421119965076784,above_proxy_bound
infrastructure_component_Tkk_min,access_mean,2.0,-0.0008282574626816902,152.88,-0.0005936788104043229,-0.00023457865227736725,below_proxy_bound
infrastructure_component_Tkk_min,access_mean,5.0,-0.000582557034686747,156.0,-1.5198177546350666e-05,-0.0005673588571403963,below_proxy_bound
infrastructure_component_Tkk_min,access_mean,10.0,-0.00048709984346636956,170.82,-9.498860966469166e-07,-0.0004861499573697226,below_proxy_bound
infrastructure_component_Tkk_min,access_mean,20.0,-0.0003177566165339486,170.04,-5.936788104043229e-08,-0.0003176972486529082,below_proxy_bound
infrastructure_component_Tkk_min,access_mean,40.0,-8.779351775097636e-05,165.36,-3.710492565027018e-09,-8.778980725841133e-05,below_proxy_bound
infrastructure_component_Tkk_min,access_mean,80.0,,,-2.3190578531418863e-10,,
infrastructure_component_Tkk_min,support_mean,0.5,-0.009952557714561428,2.34,-0.15198177546350666,0.14202921774894522,above_proxy_bound
infrastructure_component_Tkk_min,support_mean,1.0,-0.009655686423715393,4.68,-0.009498860966469166,-0.00015682545724622632,below_proxy_bound
infrastructure_component_Tkk_min,support_mean,2.0,-0.00880755348426571,8.58,-0.0005936788104043229,-0.008213874673861386,below_proxy_bound
infrastructure_component_Tkk_min,support_mean,5.0,-0.0045294071688971645,20.28,-1.5198177546350666e-05,-0.0045142089913508135,below_proxy_bound
infrastructure_component_Tkk_min,support_mean,10.0,-9.103993228487843e-05,188.76000000000002,-9.498860966469166e-07,-9.009004618823152e-05,below_proxy_bound
infrastructure_component_Tkk_min,support_mean,20.0,0.0003564872504329862,187.98000000000002,-5.936788104043229e-08,0.0003565466183140266,above_proxy_bound
infrastructure_component_Tkk_min,support_mean,40.0,0.0011530568949625745,189.54000000000002,-3.710492565027018e-09,0.0011530606054551396,above_proxy_bound
infrastructure_component_Tkk_min,support_mean,80.0,,,-2.3190578531418863e-10,,
infrastructure_component_Tkk_min,support_ring_mean,0.5,-0.030581717302551,2.34,-0.15198177546350666,0.12140005816095567,above_proxy_bound
infrastructure_component_Tkk_min,support_ring_mean,1.0,-0.02994684900953798,4.68,-0.009498860966469166,-0.020447988043068813,below_proxy_bound
infrastructure_component_Tkk_min,support_ring_mean,2.0,-0.028057747658535522,8.58,-0.0005936788104043229,-0.0274640688481312,below_proxy_bound
infrastructure_component_Tkk_min,support_ring_mean,5.0,-0.018112874298945522,20.28,-1.5198177546350666e-05,-0.018097676121399172,below_proxy_bound
infrastructure_component_Tkk_min,support_ring_mean,10.0,-0.001674559206843718,215.28,-9.498860966469166e-07,-0.0016736093207470712,below_proxy_bound
infrastructure_component_Tkk_min,support_ring_mean,20.0,-0.0007655205647219354,203.58,-5.936788104043229e-08,-0.000765461196840895,below_proxy_bound
infrastructure_component_Tkk_min,support_ring_mean,40.0,0.000199561462621754,194.22,-3.710492565027018e-09,0.00019956517311431904,above_proxy_bound
infrastructure_component_Tkk_min,support_ring_mean,80.0,,,-2.3190578531418863e-10,,
infrastructure_component_Tkk_min,shoulder_mean,0.5,-0.16830281837055583,216.06,-0.15198177546350666,-0.016321042907049166,below_proxy_bound
infrastructure_component_Tkk_min,shoulder_mean,1.0,-0.12951758955957274,154.44,-0.009498860966469166,-0.12001872859310357,below_proxy_bound
infrastructure_component_Tkk_min,shoulder_mean,2.0,-0.0852384881929675,154.44,-0.0005936788104043229,-0.08464480938256318,below_proxy_bound
infrastructure_component_Tkk_min,shoulder_mean,5.0,-0.04233513990366093,216.06,-1.5198177546350666e-05,-0.04231994172611458,below_proxy_bound
infrastructure_component_Tkk_min,shoulder_mean,10.0,-0.023218481016545073,216.06,-9.498860966469166e-07,-0.023217531130448426,below_proxy_bound
infrastructure_component_Tkk_min,shoulder_mean,20.0,-0.013046475892105069,216.06,-5.936788104043229e-08,-0.013046416524224029,below_proxy_bound
